//código;descrição;ativo;escritório-cep;escritório-número;andar-número;sala-nome;mesa-local
Q8SKK3HH;Monitor 20" LG;1;95059320;124;5;Escritório;A4
XA63HIJF;Teclado HP;1;95059320;124;5;Escritório;A4
M7N85M9B;Mouse HP;1;95059320;124;5;Escritório;A4
26SPV1MW;Cadeira;1;95059320;124;5;Escritório;A5
DCBYL0JV;Monitor 24" LG;1;95059320;124;5;Escritório;A5
G8EC6FIC;Teclado Logitech;1;95059320;124;5;Escritório;A5
PQ9Z5A4Y;Mouse Logitech;1;95059320;124;5;Escritório;A5
AADPH705;Cadeira;1;95059320;124;5;Escritório;A6
517UNCQ7;Monitor 21" Samsung;1;95059320;124;5;Escritório;A6
RWPZMNXT;Teclado HP;1;95059320;124;5;Escritório;A6
6VLGCZI5;Mouse Dell;1;95059320;124;5;Escritório;A6
80GU5YIM;Cadeira;1;95059320;124;5;Escritório;A7
8DNB8HJZ;Monitor 22" Samsung;1;95059320;124;5;Escritório;A7
SAH1X0LI;Teclado Dell;1;95059320;124;5;Escritório;A7
66H9W1MN;Mouse Logitech;1;95059320;124;5;Escritório;A7
86NUBGNT;Cadeira;1;95059320;124;5;Escritório;A8
EU8J8XPT;Monitor 24" LG;1;95059320;124;5;Escritório;A8
LOC0B8Q5;Teclado Dell;1;95059320;124;5;Escritório;A8
DPSDICW6;Mouse Dell;1;95059320;124;5;Escritório;A8
HPZM17J8;Cadeira;1;95059320;124;5;Escritório;B1
AC97D1RG;Monitor 21" HP;1;95059320;124;5;Escritório;B1
W7VHBDMF;Teclado Dell;1;95059320;124;5;Escritório;B1
YADLSHVG;Mouse HP;1;95059320;124;5;Escritório;B1
UGADHX5D;Cadeira;1;95059320;124;5;Escritório;B2
WCFJYKCC;Monitor 20" Dell;1;95059320;124;5;Escritório;B2
01QTXJW3;Teclado HP;1;95059320;124;5;Escritório;B2
DVFHW3ZZ;Mouse Logitech;1;95059320;124;5;Escritório;B2
L6PSBQS3;Cadeira;1;95059320;124;5;Escritório;B3
EQBMI1GB;Monitor 24" LG;1;95059320;124;5;Escritório;B3
4HZ77RG5;Teclado HP;1;95059320;124;5;Escritório;B3
EZYB65IB;Mouse Logitech;1;95059320;124;5;Escritório;B3
QX6X0EHZ;Cadeira;1;95059320;124;5;Escritório;B4
PQV7C53M;Monitor 24" HP;1;95059320;124;5;Escritório;B4
HVJ9BBPI;Teclado Logitech;1;95059320;124;5;Escritório;B4
TN6XKMWU;Mouse Logitech;1;95059320;124;5;Escritório;B4
A5ZVAR4C;Cadeira;1;95059320;124;5;Escritório;B5
TKIB5MSE;Monitor 23" LG;1;95059320;124;5;Escritório;B5
9D49686A;Teclado Dell;1;95059320;124;5;Escritório;B5
N7AH1YNR;Mouse Logitech;1;95059320;124;5;Escritório;B5
HE3GAG9R;Cadeira;1;95059320;124;5;Escritório;B6
R20OJXKA;Monitor 20" Dell;1;95059320;124;5;Escritório;B6
OV7MZTVY;Teclado HP;1;95059320;124;5;Escritório;B6
L5X9SO0X;Mouse Dell;1;95059320;124;5;Escritório;B6
1F0KAR0P;Cadeira;1;95059320;124;5;Escritório;B7
QDO472LP;Monitor 20" Dell;1;95059320;124;5;Escritório;B7
RQI3QYQW;Teclado Dell;1;95059320;124;5;Escritório;B7
ETFPROQK;Mouse Dell;1;95059320;124;5;Escritório;B7
73BCR7RW;Cadeira;1;95059320;124;5;Escritório;B8
4HYGXMO2;Monitor 18" HP;1;95059320;124;5;Escritório;B8
V9OJX2J1;Teclado HP;1;95059320;124;5;Escritório;B8
1OGXM15F;Mouse Dell;1;95059320;124;5;Escritório;B8
YN1U4DTL;Cadeira;1;95059320;124;5;Escritório;C1
KO4OEWDZ;Monitor 18" HP;1;95059320;124;5;Escritório;C1
BOU73XFT;Teclado Dell;1;95059320;124;5;Escritório;C1
MZVBMBNB;Mouse Dell;1;95059320;124;5;Escritório;C1
M2WXPWR0;Cadeira;1;95059320;124;5;Escritório;C2
F4DPIFJF;Monitor 21" Samsung;1;95059320;124;5;Escritório;C2
TFDDV42H;Teclado HP;1;95059320;124;5;Escritório;C2
TUCSL5S2;Mouse Logitech;1;95059320;124;5;Escritório;C2
HUTD3IY7;Cadeira;1;95059320;124;5;Escritório;C3
V1BEN5L8;Monitor 22" Dell;1;95059320;124;5;Escritório;C3
GVUA7G5P;Teclado Dell;1;95059320;124;5;Escritório;C3
MFPI556E;Mouse Dell;1;95059320;124;5;Escritório;C3
U3Z5B1R5;Cadeira;1;95059320;124;5;Escritório;C4
K4YHAHVN;Monitor 22" HP;1;95059320;124;5;Escritório;C4
0SKRA5OX;Teclado HP;1;95059320;124;5;Escritório;C4
6N05R4JG;Mouse Dell;1;95059320;124;5;Escritório;C4
